ID,Definition
bullet,Sign used to mark an item in a list.
closeParenthesis,End of a parenthesis pair.
colon,"Sign with two vertical points that is used in writing and printing to introduce an explanation, example or quotation."
comma,"Mark (,) used in writing to show a short pause or to separate items in a list."
exclamativePoint,Special sign (!) usually used in writing to mark exclamation.
invertedComma,Inverted comma.
letter,
openParenthesis,Beginning of a pair of parenthesis.
point,Sign (.) used to expresses the end of a sentence or an abbreviation.
punctuation,Graphical mark used either at word level to indicate an abbreviation or at a text level to separate phrases or sentences.
questionMark,Sign used to express a question.
semiColon,Sign (;) usually used to separate phrases.
slash,The punctuation sign /
suspensionPoints,Sequence of three dots having the same meaning as &quot;et cetera&quot; (full form) or &quot;etc&quot; (abbreviated form).
